State,Month,Year,Generation_MW
Andhra Pradesh,1,2023,1074.1
Andhra Pradesh,2,2023,1048.4
Andhra Pradesh,3,2023,1089.1
Andhra Pradesh,4,2023,1111.4
Andhra Pradesh,5,2023,1067.2
Andhra Pradesh,6,2023,950.1
Andhra Pradesh,7,2023,747.6
Andhra Pradesh,8,2023,967.1
Andhra Pradesh,9,2023,872.9
Andhra Pradesh,10,2023,1015
Andhra Pradesh,11,2023,785.9
Andhra Pradesh,12,2023,803.5
Andhra Pradesh,1,2024,962.7
Andhra Pradesh,2,2024,1144.3
Andhra Pradesh,3,2024,1100.1
Andhra Pradesh,4,2024,1099.4
Andhra Pradesh,5,2024,1025.4
Andhra Pradesh,6,2024,862.7
Andhra Pradesh,7,2024,806.9
Andhra Pradesh,8,2024,853.8
Andhra Pradesh,9,2024,874.3
Andhra Pradesh,10,2024,859.5
Andhra Pradesh,11,2024,777
Andhra Pradesh,12,2024,715.3
Andhra Pradesh,1,2025,992.4
Andhra Pradesh,2,2025,1053.3
Andhra Pradesh,3,2025,1182.2
Andhra Pradesh,4,2025,1148.4
Andhra Pradesh,5,2025,957.7
Andhra Pradesh,6,2025,957.2
Andhra Pradesh,7,2025,828.1
Andhra Pradesh,8,2025,847.7
Andhra Pradesh,9,2025,797.1
Andhra Pradesh,10,2025,792.2
Andhra Pradesh,11,2025,869.1
Arunachal Pradesh,1,2023,0.3
Arunachal Pradesh,2,2023,0.2
Arunachal Pradesh,3,2023,0.3
Arunachal Pradesh,4,2023,0.3
Arunachal Pradesh,5,2023,0.3
Arunachal Pradesh,6,2023,0.3
Arunachal Pradesh,7,2023,0.3
Arunachal Pradesh,8,2023,0.3
Arunachal Pradesh,9,2023,0.3
Arunachal Pradesh,10,2023,0.3
Arunachal Pradesh,11,2023,0.3
Arunachal Pradesh,12,2023,0.1
Arunachal Pradesh,1,2024,0.2
Arunachal Pradesh,2,2024,0.1
Arunachal Pradesh,3,2024,0.1
Arunachal Pradesh,4,2024,0.1
Arunachal Pradesh,5,2024,0.1
Arunachal Pradesh,6,2024,0.1
Arunachal Pradesh,7,2024,0.1
Arunachal Pradesh,8,2024,0.1
Arunachal Pradesh,9,2024,0.2
Arunachal Pradesh,10,2024,0.2
Arunachal Pradesh,11,2024,0.2
Arunachal Pradesh,12,2024,0.2
Arunachal Pradesh,1,2025,0.2
Arunachal Pradesh,2,2025,0.2
Arunachal Pradesh,3,2025,0.2
Arunachal Pradesh,4,2025,0.3
Arunachal Pradesh,5,2025,1.3
Arunachal Pradesh,6,2025,0.2
Arunachal Pradesh,7,2025,0.2
Arunachal Pradesh,8,2025,0.2
Arunachal Pradesh,9,2025,0.2
Arunachal Pradesh,10,2025,0.2
Arunachal Pradesh,11,2025,0.2
Assam,1,2023,30.6
Assam,2,2023,25.4
Assam,3,2023,33.2
Assam,4,2023,38.2
Assam,5,2023,38.2
Assam,6,2023,33.3
Assam,7,2023,35.5
Assam,8,2023,32.9
Assam,9,2023,38.6
Assam,10,2023,38.4
Assam,11,2023,38.4
Assam,12,2023,37.7
Assam,1,2024,36.8
Assam,2,2024,32.9
Assam,3,2024,38.4
Assam,4,2024,39.7
Assam,5,2024,37.9
Assam,6,2024,28.6
Assam,7,2024,36
Assam,8,2024,35.7
Assam,9,2024,38.7
Assam,10,2024,27.2
Assam,11,2024,37.2
Assam,12,2024,37.2
Assam,1,2025,34.5
Assam,2,2025,32.8
Assam,3,2025,38.9
Assam,4,2025,34.8
Assam,5,2025,31.5
Assam,6,2025,35
Assam,7,2025,38.2
Assam,8,2025,38.2
Assam,9,2025,38.2
Assam,10,2025,38.2
Assam,11,2025,39.8
Bihar,1,2023,17.5
Bihar,2,2023,19.7
Bihar,3,2023,21.9
Bihar,4,2023,22.7
Bihar,5,2023,22.7
Bihar,6,2023,22.7
Bihar,7,2023,24.4
Bihar,8,2023,18.5
Bihar,9,2023,14.2
Bihar,10,2023,26.7
Bihar,11,2023,22.5
Bihar,12,2023,20.8
Bihar,1,2024,22.1
Bihar,2,2024,22.1
Bihar,3,2024,31.6
Bihar,4,2024,30.9
Bihar,5,2024,33.4
Bihar,6,2024,43.9
Bihar,7,2024,39.9
Bihar,8,2024,39.6
Bihar,9,2024,39.1
Bihar,10,2024,34.9
Bihar,11,2024,34.3
Bihar,12,2024,35.3
Bihar,1,2025,36.2
Bihar,2,2025,36.2
Bihar,3,2025,48.8
Bihar,4,2025,43.1
Bihar,5,2025,44.5
Bihar,6,2025,35.9
Bihar,7,2025,29.1
Bihar,8,2025,33.4
Bihar,9,2025,43.5
Bihar,10,2025,34.9
Bihar,11,2025,34.2
Chhattisgarh,1,2023,99.4
Chhattisgarh,2,2023,108.1
Chhattisgarh,3,2023,103.7
Chhattisgarh,4,2023,100.1
Chhattisgarh,5,2023,56.1
Chhattisgarh,6,2023,89.3
Chhattisgarh,7,2023,79.5
Chhattisgarh,8,2023,81.2
Chhattisgarh,9,2023,130.8
Chhattisgarh,10,2023,129.2
Chhattisgarh,11,2023,80.2
Chhattisgarh,12,2023,117.9
Chhattisgarh,1,2024,109.6
Chhattisgarh,2,2024,154.9
Chhattisgarh,3,2024,181.9
Chhattisgarh,4,2024,190
Chhattisgarh,5,2024,213.2
Chhattisgarh,6,2024,170.5
Chhattisgarh,7,2024,120.5
Chhattisgarh,8,2024,136.5
Chhattisgarh,9,2024,168.4
Chhattisgarh,10,2024,177.5
Chhattisgarh,11,2024,159
Chhattisgarh,12,2024,172.1
Chhattisgarh,1,2025,178.7
Chhattisgarh,2,2025,214
Chhattisgarh,3,2025,215.3
Chhattisgarh,4,2025,227.6
Chhattisgarh,5,2025,212.4
Chhattisgarh,6,2025,194.4
Chhattisgarh,7,2025,127.6
Chhattisgarh,8,2025,130
Chhattisgarh,9,2025,212
Chhattisgarh,10,2025,177.2
Chhattisgarh,11,2025,236.6
Goa,1,2023,2.1
Goa,2,2023,2.1
Goa,3,2023,2.1
Goa,4,2023,2.1
Goa,5,2023,8.7
Goa,6,2023,8.7
Goa,7,2023,8.7
Goa,8,2023,8.7
Goa,9,2023,6.6
Goa,10,2023,6.6
Goa,11,2023,6.6
Goa,12,2023,6.6
Goa,1,2024,6.6
Goa,2,2024,6.6
Goa,3,2024,6.6
Goa,4,2024,6.6
Goa,5,2024,6.6
Goa,6,2024,6.6
Goa,7,2024,6.6
Goa,8,2024,6.6
Goa,9,2024,6.6
Goa,10,2024,6.6
Goa,11,2024,6.6
Goa,12,2024,6.6
Goa,1,2025,6.6
Goa,2,2025,6.6
